Source_IP,Destination_IP,Protocol,Packet_Size,Flow_Duration,Bytes_Per_Second,Login_Attempts,API_Requests,Unauthorized_Access,Malware_Attack,DDoS_Attack,Abnormal_Data_Transfer_MB,Encrypted_Traffic_Ratio,Failed_Auth_Attempts,TCP_Flags,Suspicious_IP_Flag,Port_Scan_Activity,Suspicious_DNS_Request,Anomalous_Behavior_Score,Object_Type
192.168.1.103,10.0.0.192,UDP,1046,11956,7275.17,13,126,0,0,0,2006,0.58,13,FIN,0,0,0,0.85,Normal
192.168.1.180,10.0.0.8,UDP,795,110,14519.22,11,71,0,0,0,6629,0.6,1,SYN,0,0,0,0.38,Normal
192.168.1.93,10.0.0.209,UDP,717,1103,17733.09,48,154,0,0,0,5796,0.68,23,PSH,0,0,0,0.23,Normal
192.168.1.15,10.0.0.223,TCP,448,13495,3684.06,22,141,0,0,0,7099,0.62,23,URG,0,0,0,0.71,Normal
192.168.1.107,10.0.0.165,UDP,575,10693,14275.87,11,162,0,0,0,8964,0.9,7,ACK,0,0,0,0.97,Normal
192.168.1.72,10.0.0.237,TCP,1130,8634,18193.34,43,43,0,0,0,753,0.08,8,ACK,0,0,0,0.09,Normal
192.168.1.189,10.0.0.121,TCP,1205,5344,2434.7,43,161,0,0,0,7717,0.29,24,URG,0,0,0,0.88,Normal
192.168.1.21,10.0.0.225,UDP,124,546,12704.85,38,69,0,1,0,8188,0.03,12,RST,0,0,0,0.87,Malware Attack
192.168.1.103,10.0.0.155,UDP,616,16994,4055.66,41,164,0,0,0,5869,0.87,1,RST,0,0,0,0.2,Normal
192.168.1.122,10.0.0.173,TCP,251,9868,8828.41,29,79,0,0,0,119,0.49,24,RST,0,0,0,0.72,Normal
192.168.1.211,10.0.0.4,TCP,516,2765,2544.91,47,121,0,0,0,4346,0.83,20,PSH,0,0,0,0.51,Normal
192.168.1.215,10.0.0.86,UDP,910,8520,13675.55,26,68,0,0,0,8119,0.59,13,PSH,0,0,0,0.75,Normal
192.168.1.75,10.0.0.128,TCP,250,15655,8033.49,23,101,1,0,0,8656,0.11,21,ACK,0,0,0,0.25,Unauthorized Access
192.168.1.203,10.0.0.218,TCP,1001,10064,11349.38,2,127,0,0,0,6461,0.08,7,SYN,0,1,0,0.36,Normal
192.168.1.88,10.0.0.224,UDP,227,11934,10475.61,29,47,1,0,0,6490,0.04,24,FIN,0,0,0,0.36,Unauthorized Access
192.168.1.117,10.0.0.216,UDP,165,1537,13882.76,34,189,0,0,0,6968,0.28,20,FIN,0,0,0,0.64,Normal
192.168.1.100,10.0.0.110,ICMP,1354,453,17912.61,32,45,0,0,0,5924,0.92,1,RST,0,0,0,0.43,Normal
192.168.1.104,10.0.0.99,UDP,1240,15659,5602.19,36,102,0,0,0,4081,0.75,7,PSH,0,0,0,0.93,Normal
192.168.1.152,10.0.0.37,UDP,754,8588,11907.38,39,96,0,0,0,8379,0.31,13,SYN,0,0,0,0.78,Normal
192.168.1.131,10.0.0.224,UDP,641,5684,11479.59,48,84,0,0,0,6344,0.36,5,RST,0,0,0,0.6,Normal
192.168.1.150,10.0.0.71,ICMP,674,5205,6309.75,15,176,1,0,0,7440,0.58,20,PSH,0,0,0,0.53,Unauthorized Access
192.168.1.53,10.0.0.33,TCP,599,1879,9996.73,47,41,0,0,0,1194,0.88,2,ACK,0,0,0,0.22,Normal
192.168.1.2,10.0.0.31,UDP,1420,10213,818.66,17,166,0,0,0,2303,0.76,5,PSH,0,0,0,0.41,Normal
192.168.1.88,10.0.0.183,UDP,824,11553,8544.39,17,104,0,0,0,3166,0.88,6,ACK,0,0,0,0.33,Normal
192.168.1.236,10.0.0.125,ICMP,959,16673,5417.83,13,68,0,0,0,3462,0.02,6,FIN,0,1,0,0.87,Normal
192.168.1.158,10.0.0.12,ICMP,1034,780,17280.87,31,11,0,0,0,6070,0.98,1,URG,0,1,0,0.11,Normal
192.168.1.38,10.0.0.11,ICMP,187,17347,7162.26,11,16,0,0,0,1866,0.24,15,URG,0,0,0,0.69,Normal
192.168.1.130,10.0.0.88,TCP,1389,1569,3852.27,41,105,0,0,0,6648,0.33,18,RST,0,1,0,0.51,Normal
192.168.1.192,10.0.0.72,ICMP,731,19840,10598.13,1,65,0,0,0,6475,0.64,3,RST,0,0,0,0.21,Normal
192.168.1.188,10.0.0.32,TCP,412,11569,16221.18,25,199,1,0,0,5797,0.82,18,PSH,0,0,1,0.19,Unauthorized Access
192.168.1.21,10.0.0.57,UDP,312,6992,7087.37,22,195,0,0,0,3968,0.34,18,ACK,0,0,0,0.18,Normal
192.168.1.161,10.0.0.166,UDP,1358,18834,16938.14,34,71,0,0,0,80,0.69,18,ACK,0,0,0,0.73,Normal
192.168.1.204,10.0.0.188,UDP,770,118,6529.33,32,1,1,0,0,2068,0.92,21,URG,0,0,0,0.02,Unauthorized Access
192.168.1.58,10.0.0.86,ICMP,776,9157,14714.6,40,199,0,0,0,8318,0.54,1,ACK,0,0,0,0.76,Normal
192.168.1.22,10.0.0.226,UDP,1070,7088,2313.87,24,4,0,0,0,9188,0.55,17,ACK,0,1,0,0.08,Normal
192.168.1.253,10.0.0.19,ICMP,310,19754,1253.39,3,82,0,0,0,9054,0.7,6,RST,0,0,0,0.01,Normal
192.168.1.236,10.0.0.116,TCP,544,19883,14754.14,20,37,0,0,0,9012,0.13,12,RST,0,0,0,0.39,Normal
192.168.1.89,10.0.0.212,UDP,161,327,7374.28,47,142,0,0,0,44,0.71,2,SYN,0,0,0,0.03,Normal
192.168.1.49,10.0.0.184,TCP,392,350,7865.98,3,79,0,0,0,2144,0.16,14,RST,0,0,0,0.98,Normal
192.168.1.219,10.0.0.14,ICMP,1092,13638,11487.31,30,25,0,0,0,2787,0.96,0,URG,0,0,0,0.54,Normal
192.168.1.59,10.0.0.33,ICMP,522,4454,19737.53,48,82,0,0,0,5015,0.18,18,PSH,0,1,0,0.16,Normal
192.168.1.170,10.0.0.10,UDP,859,18468,3438.48,14,132,0,0,0,4472,0.46,21,ACK,0,0,0,0.92,Normal
192.168.1.220,10.0.0.80,UDP,656,12698,6004.08,3,194,0,0,1,703,0.79,11,FIN,0,0,0,0.61,DDoS Attack
192.168.1.188,10.0.0.192,ICMP,561,16051,12977.59,3,171,0,0,0,206,0.32,1,URG,0,0,0,0.26,Normal
192.168.1.208,10.0.0.64,UDP,150,12665,14022.26,43,26,0,0,0,8608,0.52,9,PSH,0,0,0,0.05,Normal
192.168.1.15,10.0.0.190,UDP,465,10592,14125.84,2,143,1,0,0,7300,0.07,9,FIN,0,0,0,0.91,Unauthorized Access
192.168.1.190,10.0.0.68,TCP,1380,12190,11912.15,4,134,0,0,0,8637,0.74,16,PSH,0,0,0,1.0,Normal
192.168.1.190,10.0.0.219,ICMP,1368,13201,11769.79,18,165,0,0,0,8665,0.11,15,ACK,0,0,0,0.84,Normal
192.168.1.175,10.0.0.92,TCP,260,13394,2970.66,37,127,0,0,0,3458,0.73,18,ACK,0,0,0,0.88,Normal
192.168.1.190,10.0.0.125,UDP,827,11395,16694.16,31,171,0,0,1,4831,0.12,7,RST,0,0,0,0.7,DDoS Attack
192.168.1.51,10.0.0.171,TCP,1170,12138,187.83,8,42,0,0,0,6324,0.13,20,PSH,0,0,0,0.08,Normal
192.168.1.108,10.0.0.80,ICMP,90,12483,8357.37,2,13,0,0,0,2665,0.73,9,URG,0,0,0,0.57,Normal
192.168.1.55,10.0.0.59,TCP,198,6989,4316.03,33,144,0,0,1,8980,0.33,1,SYN,0,0,0,0.47,DDoS Attack
192.168.1.244,10.0.0.180,TCP,1177,2376,2095.75,24,42,0,0,0,5940,0.29,10,SYN,0,0,0,0.39,Normal
192.168.1.64,10.0.0.97,UDP,269,12891,6396.62,9,38,0,0,0,2457,0.29,4,SYN,0,0,0,0.37,Normal
192.168.1.249,10.0.0.240,ICMP,1114,15337,13147.17,31,66,0,0,0,8346,0.59,23,ACK,0,0,0,0.09,Normal
192.168.1.131,10.0.0.19,UDP,1465,1575,9946.69,4,193,0,0,0,2019,0.51,5,ACK,0,0,0,0.38,Normal
192.168.1.229,10.0.0.149,UDP,1314,3714,17471.78,28,133,0,0,0,6176,0.08,5,ACK,0,0,0,0.47,Normal
192.168.1.51,10.0.0.22,ICMP,666,4211,11997.71,6,30,0,0,0,3284,0.65,18,SYN,0,0,0,0.7,Normal
192.168.1.135,10.0.0.9,TCP,1155,12715,5070.15,14,95,0,0,0,4436,0.75,0,PSH,0,0,0,0.84,Normal
192.168.1.21,10.0.0.9,UDP,425,12219,10309.27,1,171,0,0,0,9784,0.16,1,ACK,0,0,0,0.47,Normal
192.168.1.73,10.0.0.201,TCP,1347,12939,4555.44,9,32,0,0,0,4111,0.23,9,ACK,0,1,0,0.38,Normal
192.168.1.167,10.0.0.27,ICMP,721,10454,3581.34,10,195,0,0,0,4900,0.79,14,URG,0,0,0,0.16,Normal
192.168.1.18,10.0.0.17,UDP,1150,8766,19100.86,39,195,0,0,1,2440,0.47,3,RST,0,0,0,0.48,DDoS Attack
192.168.1.132,10.0.0.172,TCP,1035,3463,9365.98,20,42,0,0,0,1180,0.33,0,SYN,0,0,0,0.28,Normal
192.168.1.89,10.0.0.249,TCP,1043,15666,13027.65,11,126,0,0,0,1939,0.33,4,ACK,0,0,0,0.46,Normal
192.168.1.60,10.0.0.45,UDP,1004,9504,17469.91,3,5,1,0,0,2951,0.97,15,FIN,0,0,0,0.71,Unauthorized Access
192.168.1.14,10.0.0.8,ICMP,971,14534,6450.33,27,96,0,0,0,5837,0.41,14,FIN,0,0,0,0.91,Normal
192.168.1.242,10.0.0.208,TCP,1479,18984,15782.61,28,187,0,0,0,430,0.73,23,PSH,0,0,0,0.94,Normal
192.168.1.250,10.0.0.146,ICMP,309,267,15778.65,12,23,0,0,0,3301,0.24,15,URG,0,0,0,0.15,Normal
192.168.1.9,10.0.0.125,UDP,341,14798,16482.0,49,106,0,0,0,9001,0.47,3,URG,0,1,0,0.07,Normal
192.168.1.90,10.0.0.123,TCP,410,1056,3797.4,17,136,0,0,0,9734,0.92,2,URG,0,0,0,0.07,Normal
192.168.1.53,10.0.0.33,TCP,435,6656,19257.18,26,196,0,0,0,5691,0.07,1,URG,0,0,0,0.96,Normal
192.168.1.130,10.0.0.1,TCP,872,18626,5502.88,2,70,0,0,0,1225,0.09,16,FIN,0,0,0,0.65,Normal
192.168.1.84,10.0.0.204,ICMP,912,16442,15538.53,34,19,0,0,0,1853,0.67,6,FIN,0,0,0,0.62,Normal
192.168.1.92,10.0.0.6,TCP,186,1863,3254.49,38,106,0,0,0,5495,0.06,3,URG,0,1,0,0.98,Normal
192.168.1.111,10.0.0.41,TCP,1144,12056,18485.3,21,172,0,0,0,6872,0.46,3,RST,0,0,0,0.03,Normal
192.168.1.188,10.0.0.183,UDP,223,2078,8562.63,16,93,0,0,0,3158,0.45,14,PSH,0,0,0,0.17,Normal
192.168.1.199,10.0.0.5,TCP,1214,13426,13376.38,27,38,0,0,0,4980,0.23,14,PSH,0,0,0,0.17,Normal
192.168.1.172,10.0.0.187,ICMP,800,7467,17005.33,37,172,0,0,0,2535,0.57,13,URG,0,0,0,0.25,Normal
192.168.1.253,10.0.0.80,UDP,1398,5833,5654.91,15,134,0,0,0,7405,0.62,21,RST,0,0,0,0.0,Normal
192.168.1.8,10.0.0.18,UDP,581,238,7786.03,4,3,0,0,0,2339,0.09,24,FIN,0,0,0,0.77,Normal
